"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"smoking",1,49.4504971745375,49.4504971745375,213.615994997338,2.74512763634124e-48
"gender",1,165.158572228889,165.158572228889,713.451122937951,3.44762819177599e-156
"height.cm.",1,94.5059144002021,94.5059144002021,408.246146979637,1.86576248432445e-90
"weight.kg.",1,0.357168722722516,0.357168722722516,1.54289555101954,0.214192553384052
"smoking:gender",1,0.943449679951437,0.943449679951437,4.07550891554066,0.0435139409602925
"Residuals",55686,12890.8904302584,0.231492483393642,NA,NA
