"term","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",20.2829976355301,2.66804123553533,7.60220545521683,6.76117743834915e-14
"height",0.000736357135577326,0.0113360324946771,0.0649572181380996,0.9482212169432
"mass",-0.036072487040991,0.0223082054648903,-1.61700532558585,0.106196666552176
"smoker",2.24399691170707,0.0974153824470718,23.0353446790222,2.64604331675173e-94
"sex",-0.0894388215720949,0.0998503565598455,-0.895728614834636,0.370616121646166
"drinker",-0.0139520993010274,0.0999061647662411,-0.139652035824539,0.888963415791988
"metabolite_A",-26.6784511067321,1.89239690604708,-14.0977038281357,2.95887229502803e-41
"metabolite_B",-0.165223770265128,0.936498591844564,-0.176427142233814,0.859994575708419
"metabolite_C",12.4175366732628,0.545276932527128,22.7728992967165,1.35019842546842e-92
"metabolite_D",0.0620249702025056,0.935963583817912,0.0662685720629194,0.947177424443236
"metabolite_E",-0.00495160994002125,0.467470828852928,-0.0105923399587765,0.991550834064312
