"term","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.187601937542727,0.0533047302438262,-3.51942382382576,0.000432830132557728
"smoking",-0.0273030048454281,0.0167384258703616,-1.6311572579697,0.102862796487601
"genderM",0.0212399140840371,0.00697157999527446,3.046642812452,0.00231520793122336
"height.cm.",0.00700598998552471,0.000370270232778223,18.921288738112,1.35522396280343e-79
"weight.kg.",0.000447047495545222,0.000217643068530101,2.05403966487173,0.0399765106411886
"smoking:genderM",0.0244275632623053,0.0175051936364329,1.39544661828048,0.162886766104932
