"term","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.0915618661701893,0.0534339122899019,-1.713553476553,0.0866163297113997
"smoking",-0.0407429407174642,0.0167789908275826,-2.4282116329957,0.0151766318109792
"genderM",0.0341835842658599,0.0069884753620468,4.89142230528637,1.00388674262055e-06
"height.cm.",0.00648216164053545,0.000371167569019348,17.4642457520246,4.07751108956101e-68
"weight.kg.",0.000268306017031436,0.000218170518472691,1.22979960312566,0.218777352552079
"smoking:genderM",0.0354249353442959,0.0175476168270309,2.01878897251314,0.0435139409602926
