"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"height",1,153.369112664937,153.369112664937,77.108149306667,7.03399312891501e-18
"mass",1,4.44693140219771,4.44693140219771,2.2357477627603,0.135171021662869
"smoker",1,1219.86932318967,1219.86932318967,613.303841123649,1.08103048931524e-105
"sex",1,7.44158768200908,7.44158768200908,3.74134689894565,0.0533672017379951
"drinker",1,3.85537063672573,3.85537063672573,1.93833353746168,0.164163184084098
"metabolite_A",1,15216.5729387724,15216.5729387724,7650.31340216455,0
"metabolite_B",1,13.9219106297859,13.9219106297859,6.99940649601882,0.0082833114940574
"metabolite_C",1,3788.25175259851,3788.25175259851,1904.58871851704,1.31750800151461e-232
"metabolite_D",1,2.60964341699497,2.60964341699497,1.31202933066726,0.252305218314519
"metabolite_E",1,0.000223162617724599,0.000223162617724599,0.000112197665802294,0.991550834064312
"Residuals",987,1963.15584748712,1.98901301670427,NA,NA
