"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"smoking",1,52.2283362743158,52.2283362743158,226.710557254652,3.92246358008531e-51
"gender",1,155.538271644676,155.538271644676,675.15396343059,5.79471677330692e-148
"height.cm.",1,114.234072188123,114.234072188123,495.862438106673,2.27366622044662e-109
"weight.kg.",1,0.980074850650834,0.980074850650834,4.25426753736339,0.0391564550794742
"smoking:gender",1,0.448601686880581,0.448601686880581,1.94727126447042,0.162886766104932
"Residuals",55686,12828.6356356343,0.230374522063613,NA,NA
